Category,API Name,Endpoint,Full URL Example,Permissions,Required Parameters,Optional Parameters,Response Fields,Has Response Example
User & Authentication,Login,/api/user/login,http://localhost:5380/api/user/login?user=admin&pass=admin&includeInfo=true,None,"user, pass","totp (optional), includeInfo (optional)","displayName, username, totpEnabled, token, info",Yes
User & Authentication,Create API Token,/api/user/createToken,http://localhost:5380/api/user/createToken?user=admin&pass=admin&tokenName=MyToken1,None,"user, pass, tokenName",totp (optional),"username, tokenName, token, status",Yes
User & Authentication,Logout,/api/user/logout,http://localhost:5380/api/user/logout?token=932b2a3495852c15af01598f62563ae534460388b6a370bfbbb8bb60...,None,token,,status,Yes
User & Authentication,Get Session Info,/api/user/session/get,http://localhost:5380/api/user/session/get?token=932b2a3495852c15af01598f62563ae534460388b6a370bfbbb...,None,token,,,Yes
User & Authentication,Delete User Session,/api/user/session/delete,http://localhost:5380/api/user/session/delete?token=x&partialToken=620c3bfcd09d0a07,None,"token, partialToken",,,Yes
User & Authentication,Change Password,/api/user/changePassword,http://localhost:5380/api/user/changePassword?token=x&pass=password&newPass=newpassword,None,"token, pass, newPass","totp (optional), iterations (optional)",status,Yes
User & Authentication,Initialize 2FA,/api/user/2fa/init,http://localhost:5380/api/user/2fa/init?token=x,None,token,,"totpEnabled, qrCodePngImage, secret",Yes
User & Authentication,Enable 2FA,/api/user/2fa/enable,http://localhost:5380/api/user/2fa/enable?token=x,None,"token, totp",,status,Yes
User & Authentication,Disable 2FA,/api/user/2fa/disable,http://localhost:5380/api/user/2fa/disable?token=x,None,token,,status,Yes
User & Authentication,Get User Profile Details,/api/user/profile/get,http://localhost:5380/api/user/profile/get?token=x,None,token,,"displayName, username, totpEnabled, disabled, previousSessionLoggedOn",Yes
User & Authentication,Set User Profile Details,/api/user/profile/set,http://localhost:5380/api/user/profile/set?token=x&displayName=Administrator&sessionTimeoutSeconds=1...,None,token,"displayName (optional), sessionTimeoutSeconds (optional)","displayName, username, totpEnabled, disabled, previousSessionLoggedOn",Yes
User & Authentication,Check For Update,/api/user/checkForUpdate,http://localhost:5380/api/user/checkForUpdate?token=x,None,token,,"updateAvailable, updateVersion, currentVersion, updateTitle, updateMessage",Yes
Dashboard & Statistics,Get Stats,/api/dashboard/stats/get,http://localhost:5380/api/dashboard/stats/get?token=x&type=LastHour&utc=true,Dashboard: View,"token, node","type (optional), utc (optional), dontTrimQueryTypeData (optional), start (optional), end (optional)","stats, mainChartData, queryResponseChartData, queryTypeChartData, protocolTypeChartData",Yes
Dashboard & Statistics,Get Top Stats,/api/dashboard/stats/getTop,http://localhost:5380/api/dashboard/stats/getTop?token=x&type=LastHour&statsType=TopClients&limit=10...,Dashboard: View,"token, node, statsType","type (optional), start (optional), end (optional), limit (optional), noReverseLookup (optional)",,No
Dashboard & Statistics,Delete All Stats,/api/dashboard/stats/deleteAll,http://localhost:5380/api/dashboard/stats/deleteAll?token=x,Dashboard: Delete,"token, node",,,Yes
Zone Management,List Zones,/api/zones/list,http://localhost:5380/api/zones/list?token=x&pageNumber=1&zonesPerPage=10,"Zones: View\
Zone: View",token,"node (optional), pageNumber (optional), zonesPerPage (optional)","pageNumber, totalPages, totalZones, zones",Yes
Zone Management,List Catalog Zones,/api/zones/catalogs/list,http://localhost:5380/api/zones/catalogs/list?token=x,"Zones: View\
Zone: View",token,node (optional),catalogZoneNames,Yes
Zone Management,Create Zone,/api/zones/create,http://localhost:5380/api/zones/create?token=x&zone=example.com&type=Primary,Zones: Modify,"token, zone, type","node (optional), catalog (optional), useSoaSerialDateScheme (optional), primaryNameServerAddresses (optional), zoneTransferProtocol (optional)",domain,Yes
Zone Management,Import Zone,/api/zones/import,http://localhost:5380/api/zones/import?token=x&zone=example.com&overwrite=true&overwriteSoaSerial=fa...,"Zones: Modify
Zone: Modify","token, zone","node (optional), overwrite (optional), overwriteSoaSerial (optional)",status,Yes
Zone Management,Export Zone,/api/zones/export,http://localhost:5380/api/zones/export?token=x&zone=example.com,"Zones: View
Zone: View","token, zone",node (optional),,No
Zone Management,Clone Zone,/api/zones/clone,http://localhost:5380/api/zones/clone?token=x&zone=example.com&sourceZone=template.com,"Zones: Modify
Zone: View","token, zone, sourceZone",node (optional),status,Yes
Zone Management,Convert Zone Type,/api/zones/convert,http://localhost:5380/api/zones/convert?token=x&zone=example.com&type=Primary,"Zones: Delete
Zone: Delete","token, zone, type",node (optional),status,Yes
Zone Management,Enable Zone,/api/zones/enable,http://localhost:5380/api/zones/enable?token=x&zone=example.com,"Zones: Modify\
Zone: Modify","token, zone",node (optional),status,Yes
Zone Management,Disable Zone,/api/zones/disable,http://localhost:5380/api/zones/disable?token=x&zone=example.com,"Zones: Modify\
Zone: Modify","token, zone",node (optional),status,Yes
Zone Management,Delete Zone,/api/zones/delete,http://localhost:5380/api/zones/delete?token=x&zone=example.com,"Zones: Delete\
Zone: Delete","token, zone",node (optional),status,Yes
Zone Management,Resync Zone,/api/zones/resync,http://localhost:5380/api/zones/resync?token=x&zone=example.com,"Zones: Modify\
Zone: Modify","token, zone",node (optional),status,Yes
Zone Management,Get Zone Options,/api/zones/options/get,http://localhost:5380/api/zones/options/get?token=x&zone=example.com&includeAvailableTsigKeyNames=tr...,"Zones: Modify\
Zone: View","token, zone, includeAvailableCatalogZoneNames, includeAvailableTsigKeyNames",node (optional),"name, type, internal, dnssecStatus, notifyFailed",Yes
Zone Management,Set Zone Options,/api/zones/options/set,http://localhost:5380/api/zones/options/set?token=x&zone=example.com&disabled=false&zoneTransfer=All...,"Zones: Modify\
Zone: Delete","token, zone","node (optional), disabled (optional), catalog (optional), overrideCatalogQueryAccess (optional), overrideCatalogZoneTransfer (optional)",status,Yes
